creator_open_id,existing_collaboration_id,product_id
sQWUmQAAAACOV4AEeERJl-yievH_HBssk7035z_rR3rfGg0byBwyFw,7661970332203550472,1734810555690551128
XoTXawAAAACOV4AEeERJl-yievH_HBssONvLAt04stNsY96fQBjXxA,7661970332203550472,1734810555690551128
fTcLggAAAACOV4AEeERJl-yievH_HBssZ2wBpc8HcDmwraLqFMPPpA,7661970334190913301,1734810555690551128
sW6t0wAAAACOV4AEeERJl-yievH_HBssY7WK-VuIXdWMLiwmBd_urA,7661970369088603924,1734810555690551128
tKpu7wAAAACOV4AEeERJl-yievH_HBssgYMxHyHuweMR6jzhrcNW-w,7661970518602401552,1734810555690551128
QYcEfAAAAACOV4AEeERJl-yievH_HBssBWUDi6QCufgHSIAQ579G0g,7661970532174645000,1734810555690551128
eN7qUwAAAACOV4AEeERJl-yievH_HBssv5_s-CAXTH2ZW_rCo5g4uQ,7661970532174645000,1734810555690551128
TXE2UAAAAACOV4AEeERJl-yievH_HBssMZXkAEi2Ksurw4XLLL_vsQ,7661970554702726929,1734810555690551128
FhZdSQAAAACOV4AEeERJl-yievH_HBssm6-PTQB7lILhWYGi55IYKQ,7661970554702726929,1734810555690551128
QZs83gAAAACOV4AEeERJl-yievH_HBssm2uwwhm_djcltyDRf_Er4Q,7661970561066288913,1734810555690551128
JYHREwAAAACOV4AEeERJl-yievH_HBsscEhMRcfgGP6DJPzpaMdC2w,7658237276055176981,1734810555690551128
QHy6cgAAAACOV4AEeERJl-yievH_HBss-Rtn98rILQd9b3uZJzGTUg,7661970332203550472,1734810555690551128
EcTV9AAAAACOV4AEeERJl-yievH_HBss2PNXf64Zwpxk5IXNpTYkQA,7661970332203550472,1734810555690551128
IU-vHwAAAACOV4AEeERJl-yievH_HBsspnqBZZHgweRBCywpVT0sVg,7661970332203550472,1734810555690551128
uu21zwAAAACOV4AEeERJl-yievH_HBss-YuELNAGpXIYKjltn5Y3ag,7661970334190913301,1734810555690551128
z1nbMAAAAACOV4AEeERJl-yievH_HBssoS5QMexsdqfaVW9AMLdaKw,7661970334190913301,1734810555690551128
YH0rKwAAAACOV4AEeERJl-yievH_HBssknCCXr2jDw6W1DWJ8mH8fg,7661970369088603924,1734810555690551128
Myfk0AAAAACOV4AEeERJl-yievH_HBss2-SRiBU9L-OYx9yhcmFvPg,7661970369088603924,1734810555690551128
5A2cNwAAAACOV4AEeERJl-yievH_HBssosgFEHiWlVW8Zcs83wBaHQ,7661970369088603924,1734810555690551128
vbR-cgAAAACOV4AEeERJl-yievH_HBssCnWwZZuIrgex0WBaFLPQVw,7661970369088603924,1734810555690551128
iNWHZQAAAACOV4AEeERJl-yievH_HBssHfgfqtQp5StNMqoiasp_NA,7661970369088603924,1734810555690551128
3MSSKQAAAACOV4AEeERJl-yievH_HBssOvPki6ipVNPhfZ59qL6-8w,7661970508745393940,1734810555690551128
qENNJAAAAACOV4AEeERJl-yievH_HBssvze6r93wdpKuS4src65hAg,7661970518602401552,1734810555690551128
AWmNvAAAAACOV4AEeERJl-yievH_HBsskVVxrtJBAjIkIV5FXgA8YQ,7661970518602401552,1734810555690551128
xDaTwgAAAACOV4AEeERJl-yievH_HBssBlNet4IeCjIEy5sX0xWw4w,7661970532174645000,1734810555690551128
qqwg9QAAAACOV4AEeERJl-yievH_HBss7DGmliHU_e9KCAp9u8TGXg,7661970554702726929,1734810555690551128
zHM3sQAAAACOV4AEeERJl-yievH_HBssgbcLdTkhDlQW5wn90jjIIA,7661970561066288913,1734810555690551128
IKk84gAAAACOV4AEeERJl-yievH_HBssah1Kuu28mcrb-v0aZ3ZAjQ,7657213115356710674,1734810555690551128
xVkqtQAAAACOV4AEeERJl-yievH_HBsslyEFSJHV0AuB5RYFMb-W-A,7657956260486792967,1734810555690551128
jr2xOgAAAACOV4AEeERJl-yievH_HBss088gEjG6bcCcTqH3CQ7afA,7658237276055176981,1734810555690551128
jOs55AAAAACOV4AEeERJl-yievH_HBssuBxT4AEOM2Iu1bj5lTThjQ,7658270288522561287,1734810555690551128
Qo733QAAAACOV4AEeERJl-yievH_HBss5kSdU2R6O1_WB7Yvnpr42g,7658270288522561287,1734810555690551128
0VtNaQAAAACOV4AEeERJl-yievH_HBssCl4GFDqkPG-ft6u5j_fsJQ,7658270288522561287,1734810555690551128
XlLT_AAAAACOV4AEeERJl-yievH_HBssTF7EjawjDRnuhKV1yFDX6Q,7659392958671882004,1734810555690551128
d120lgAAAACOV4AEeERJl-yievH_HBssY2WFvIPgQqJjt59OAX3Lwg,7660461201453172498,1734810555690551128
dXn98gAAAACOV4AEeERJl-yievH_HBss_ce3lwtp4TCkbmJmJgLX_Q,7660853796110010133,1734810555690551128
ZQ8XGwAAAACOV4AEeERJl-yievH_HBssNIuQf0uC83GKu1jFzJLWLw,7660853796110010133,1734810555690551128
Xq3i9QAAAACOV4AEeERJl-yievH_HBssZDhUwke1uEEPmzZvTqISKw,7660853796110010133,1734810555690551128
3H4sbgAAAACOV4AEeERJl-yievH_HBssAZOc-hm3PlOm1innUH_UQA,7660853796110010133,1734810555690551128
xxLCHQAAAACOV4AEeERJl-yievH_HBssjMyu2rYxTzB-U-dVuzZnig,7660853796110010133,1734810555690551128
czwgWgAAAACOV4AEeERJl-yievH_HBssegBlVWi6zXnihu87zNAJog,7660853796110010133,1734810555690551128
nAAdbQAAAACOV4AEeERJl-yievH_HBssnyHRKsIfavw2eZtrycVsag,7660853796110010133,1734810555690551128
ZKunmwAAAACOV4AEeERJl-yievH_HBssSfoGFthwXzaEI2acMsVuwg,7660853796110010133,1734810555690551128
QaYdMwAAAACOV4AEeERJl-yievH_HBssXh5A6vjfhZ4IaYbwcKCtrQ,7660853796110010133,1734810555690551128
lxyF8QAAAACOV4AEeERJl-yievH_HBssFseVFb_J197bMDnzrSVViQ,7661970332203550472,1734810555690551128
XH9pEwAAAACOV4AEeERJl-yievH_HBsshvRkAmtObH3h3Gz02Gl1NA,7661970532174645000,1734810555690551128
Apez4wAAAACOV4AEeERJl-yievH_HBssN6LiQnsvNTL75NdAt1HVsA,7661985753756845845,1734810555690551128
-hzx4AAAAACOV4AEeERJl-yievH_HBssL7VeSddku78e5G4J_eKiWg,7661985753756845845,1734810555690551128
yMV18gAAAACOV4AEeERJl-yievH_HBssrRrtu45w1vWmoe7855cpqg,7661985753756845845,1734810555690551128
atdrOQAAAACOV4AEeERJl-yievH_HBssz6x30DYrEkCZUfkTPCfhvQ,7657213115356710674,1734810555690551128
52fnmgAAAACOV4AEeERJl-yievH_HBss9SfFZrEAAfxwXEr89yL0xQ,7657213115356710674,1734810555690551128
AfxV9AAAAACOV4AEeERJl-yievH_HBssAt7O48XbhjJ6Ycul2aDlmQ,7657213115356710674,1734810555690551128
3p7S-wAAAACOV4AEeERJl-yievH_HBssdf9-G0NnX7rdM1y4bAkB_Q,7657956260486792967,1734810555690551128
kwWNXgAAAACOV4AEeERJl-yievH_HBssTiPy8E48uaP-DDldZWTHnQ,7657956260486792967,1734810555690551128
UKyIvAAAAACOV4AEeERJl-yievH_HBssIzJlXR_zI2e_91wsIWEC5g,7658237276055176981,1734810555690551128
0QTWoQAAAACOV4AEeERJl-yievH_HBssAl7331MDZZwhWwgNoPcLsg,7658270288522561287,1734810555690551128
6Tdr4wAAAACOV4AEeERJl-yievH_HBssUuLuuDlLFfWd33kGNwnEQg,7658270288522561287,1734810555690551128
JFOhjgAAAACOV4AEeERJl-yievH_HBss5gadC20hAyoyKOHapfvhVA,7658270288522561287,1734810555690551128
ryigdgAAAACOV4AEeERJl-yievH_HBss4HUEvYCGk0n3ldt2htN9TA,7658270288522561287,1734810555690551128
k6oErAAAAACOV4AEeERJl-yievH_HBssDFaFukdMLZNlg5kmNHT10A,7658270288522561287,1734810555690551128
s8UGXgAAAACOV4AEeERJl-yievH_HBssvkkybGxVrX_eWfnHeK7fnA,7658270288522561287,1734810555690551128
ovVM5AAAAACOV4AEeERJl-yievH_HBssqRSuZSI4n3MoAwhaVaqnHg,7658270288522561287,1734810555690551128
9jpIYQAAAACOV4AEeERJl-yievH_HBssEsjzgkOEcJ197z11jJryIA,7658270288522561287,1734810555690551128
dGOo5QAAAACOV4AEeERJl-yievH_HBssamWnyTnw_AlzGfDIiJLlhw,7658273774026311432,1734810555690551128
fGMbAAAAAACOV4AEeERJl-yievH_HBssBjmeUTCXo9dGWqDrBufFgA,7658273774026311432,1734810555690551128
gdXGLgAAAACOV4AEeERJl-yievH_HBsseNP7QBKzPQ-Vz02HUrD73Q,7658273774026311432,1734810555690551128
Y6047QAAAACOV4AEeERJl-yievH_HBssm5-AR5XiVSZnrBGbJrFUtw,7658273774026311432,1734810555690551128
CICFKwAAAACOV4AEeERJl-yievH_HBssqkU7H--75ImCOWkPzQmnsg,7659390270576379668,1734810555690551128
GInEiAAAAACOV4AEeERJl-yievH_HBssTAK44b7SVmhrwPTemU6_ag,7659392958671882004,1734810555690551128
_dD56gAAAACOV4AEeERJl-yievH_HBssxYQgBRgNm-HNzLOiV9A2OQ,7660463568672835346,1734810555690551128
MFpCWwAAAACOV4AEeERJl-yievH_HBssGCEwd_AU0NK2JRXFjlE8lw,7660853796110010133,1734810555690551128
